"refNum","Стара оферта","EUR","Нощувки","Score","t","p","n","d","Оператор","spo (ID при оператора)","PV id","PV EUR","PV заглавие"
"Е637","Най-доброто от Колумбия с водач от България","2599","9","0.9","1","1","1","0","Bohemia","6000004259","21-6000004259","2599.00","Най-доброто от Колумбия! Групов тур с водач от България!"
"Е678","Шри Ланка – Островът на подправките","2180","10","0.9","1","1","1","0","Karta Holiday","51","98-51","2180.00","Екскурзия Шри Ланка – островът на подправките"
"Е721","Шри Ланка и Малдиви – Перлите на Индийския океан","3024","8","0.9","1","1","1","0","WelcomeTravel","1345","19-1345","3035.00","Шри Ланка и Малдиви - Перлите на Индийския океан"
"Е525","Величието на Япония по време на цъфтежа на вишните","3799","9","0.9","1","1","1","0","Rual Travel","4360","31-4360","3799.00","Величието на Япония по време на цъфтежа на вишните"
"Е639","Япония и Южна Корея – Истинско очарование","4390","13","0.9","1","1","1","0","Karta Holiday","49","98-49","4390.00","Екскурзия Япония и Южна Корея - Истинско очарование!"
"П1102","Грузия и Армения – Пътешествие из Кавказките съкровища (хотели 4★)","1175","7","0.9","1","1","1","0","Abax.bg","3108","109-3108","1171.37","Армения и Грузия – Пътешествие из Кавказките съкровища хотели 3*"
"Е656","Класическа Испания – обзорна обиколка","1227","7","0.9","1","1","1","0","PREMIO TRAVEL","473","92-473","1226.59","КЛАСИЧЕСКА ИСПАНИЯ – ОБЗОРНА ОБИКОЛКА"
"Е714","Мадрид","726","4","0.9","1","1","1","0","Rual Travel","3188","31-3188","726.00","Мадрид"
"Е230","Мадрид – Барселона – Валенсия","934","6","0.9","1","1","1","0","Rual Travel","3783","31-3783","934.00","Мадрид - Барселона - Валенсия"
"П1077","Испания отблизо – класически обиколен тур с полет от София","1119","7","0.9","1","1","1","0","Abax.bg","3149","109-3149","1119.00","Испания отблизо – класически обиколен тур с полет от София"
"П576","Почивка на остров Лефкада – 7 нощувки (с включен транспорт)","479","7","0.9","1","1","1","0","Bohemia","1100004807","21-1100004807","478.64","Почивка на остров Лефкада - 7 нощувки - с включен транспорт!"
"Е711","Санторини – островът с най-красивите залези","490","5","0.9","1","1","1","0","Bohemia","6000002717","21-6000002717","490.00","Санторини - островът с най-красивите залези"
"П1044","Рим – Вечният град (4 нощувки, полет от София)","548","4","0.9","1","1","1","0","Abax.bg","3044","109-3044","548.10","РИМ - ВЕЧНИЯТ ГРАД - 4 нощувки - полет от София"
"П1076","Романтиката на Париж (4 нощувки, полет от София)","712","4","0.9","1","1","1","0","Abax.bg","3142","109-3142","712.23","РОМАНТИКАТА НА ПАРИЖ - 4 нощувки - полет от София"
"Е685","Най-доброто от Дубай – 8 дни (полет на Fly Dubai)","1390","7","0.9","1","1","1","0","Bohemia","6000004874","21-6000004874","1390.00","Най-доброто от ДУБАЙ - 8 дни, с полет на Fly Dubai!"
"П944","Почивки на Касандра – Лято 2026","320","7","0.9","1","1","1","0","NovaTours","1","116-1","320.00","Почивки на Касандра – Лято 2026"
"П906","Почивка на Малдивите – Есен","2900","7","0.9","1","1","1","0","MarbroTours","178","63-178","2900.00","Почивка на Малдивите - Есен"
"Е724","Тоскана и Венеция: Венеция – Флоренция – Сиена – Сан Джиминяно – Пиза – Лука","357","3","0.9","1","1","1","0","Rual Travel","1089","31-1089","357.00","Тоскана и Венеция: Венеция - Флоренция - Сиена - Сан Джиминяно - Пиза - Лука"
"Е463","Милано, Верона и езерата","611","3","0.9","1","1","1","0","Rual Travel","3709","31-3709","611.00","Милано, Верона и езерата"
"Е528","Сицилия – Перлата на италианския Юг (самолетна програма)","759","7","0.9","1","1","1","0","Bohemia","6000003298","21-6000003298","759.00","Сицилия - Перлата на италианския Юг - самолетна програма на български език!"
"Е465","Магията на италианските езера и езерото Лугано","811","5","0.9","1","1","1","0","Rual Travel","3779","31-3779","811.00","Магията на италианските езера и езерото Лугано"
